"Mountain","Country","Province"
"Pik Lenina","TAD","Badakhshoni Kuni"
"Pik Moskva","TAD","Badakhshoni Kuni"
"Pik Revoluzija","TAD","Badakhshoni Kuni"
"Emi Kussi","TCH","Chad"
"Changbai Shan","TJ","Jilin"
"Cho Oyu","TJ","Tibet"
"Kailash","TJ","Tibet"
"Lhotse","TJ","Tibet"
"Makalu","TJ","Tibet"
"Mount Everest","TJ","Tibet"
"Shishapangma","TJ","Tibet"
"Broad Peak","TJ","Xinjiang Uygur"
"Gasherbrum I","TJ","Xinjiang Uygur"
"Gasherbrum II","TJ","Xinjiang Uygur"
"K2","TJ","Xinjiang Uygur"
"Pik Pobeda","TJ","Xinjiang Uygur"
"Tatamailau","TL","Timor-Leste"
"Ararat","TR","Agri"
"Demirkazik","TR","Nigde"
"Mt Blackburn","USA","Alaska"
"Mt Bona","USA","Alaska"
"Mt Fairweather","USA","Alaska"
"Mt McKinley","USA","Alaska"
"Mt Redoubt","USA","Alaska"
"Mt St.Elias","USA","Alaska"
"Humphreys Peak","USA","Arizona"
"Boundary Peak","USA","California"
"Mt Whitney","USA","California"
"Mt Elbert","USA","Colorado"
"Pikes Peak","USA","Colorado"
"Haleakala","USA","Hawaii"
"Mauna Kea","USA","Hawaii"
"Mauna Loa","USA","Hawaii"
"Borah Peak","USA","Idaho"
"Granite Peak","USA","Montana"
"Boundary Peak","USA","Nevada"
"Mt Washington","USA","New Hampshire"
"Wheeler Peak","USA","New Mexico"
"Mt Marcy","USA","New York"
"Mt Mitchell","USA","North Carolina"
"Mt Hood","USA","Oregon"
"Harney Peak","USA","South Dakota"
"Clingmans Dome","USA","Tennessee"
"Guadalupe Peak","USA","Texas"
"Kings Peak","USA","Utah"
"Mt Adams","USA","Washington"
"Mt Rainier","USA","Washington"
"Gannett Peak","USA","Wyoming"
"Morne Diablotins","WD","Dominica"
"Silisili","WS","Samoa"
"Soufriere","WV","Saint Vincent and the Grenadines"
"Jabal Shuayb","YE","Yemen"
"Pico Bolivar","YV","Merida"
"Karisimbi","ZRE","Kivu"
"Ruwenzori","ZRE","Kivu"
