"River","Country","Province"
"Vaal","RSA","Mpumalanga"
"Akagera","RWA","Rwanda"
"Ruzizi","RWA","Rwanda"
"Goetaaelv","S","Alvsborg"
"Dalaelv","S","Dalarna"
"Oesterdalaelv","S","Dalarna"
"Vaesterdalaelv","S","Dalarna"
"Umeaelv","S","Vasterbotten"
"Kymijoki","SF","Haeme"
"Vuoksi","SF","Kymi"
"Kemijoki","SF","Lappia"
"Ounasjoki","SF","Lappia"
"Paatsjoki","SF","Lappia"
"Oulujoki","SF","Oulu"
"Kokemaeenjoki","SF","Turku-Pori"
"Waag","SK","Slovakia"
"Save","SLO","Slovenia"
"Morava","SRB","Serbia"
"Western Morava","SRB","Serbia"
"White Nile","SUD","Aali an Nil"
"Nile","SUD","al Khartum"
"Pjandsh","TAD","Badakhshoni Kuni"
"Amudarja","TAD","Khatlon"
"Syrdarja","TAD","Khujand"
"Argun","TJ","Heilongjiang"
"Hwangho","TJ","Qinghai"
"Jangtse","TJ","Qinghai"
"Brahmaputra","TJ","Tibet"
"Ganges","TJ","Tibet"
"Indus","TJ","Tibet"
"Irawaddy","TJ","Tibet"
"Mekong","TJ","Tibet"
"Saluen","TJ","Tibet"
"Murat","TR","Agri"
"Tigris","TR","Diyarbakir"
"Karasu","TR","Erzurum"
"Kura","TR","Kars"
"Euphrat","TR","Malatya"
"Theiss","UA","Chernivetska"
"Pruth","UA","Ivano Frankivska"
"Dnjestr","UA","Lvivska"
"Truckee River","USA","California"
"Arkansas","USA","Colorado"
"Colorado","USA","Colorado"
"Rio Grande","USA","Colorado"
"Mississippi","USA","Minnesota"
"Missouri","USA","Montana"
"Connecticut River","USA","New Hampshire"
"Merrimack River","USA","New Hampshire"
"Hudson River","USA","New York"
"Niagara River","USA","New York"
"Tennessee","USA","North Carolina"
"Allegheny River","USA","Pennsylvania"
"Ohio River","USA","Pennsylvania"
"Orinoco","YV","Amazonas"
"Luapula","Z","Luapula"
"Zambezi","Z","Luapula"
"Fimi","ZRE","Bandundu"
"Kwa","ZRE","Bandundu"
"Busira","ZRE","Equateur"
"Ruki","ZRE","Equateur"
"Ubangi","ZRE","Equateur"
"Aruwimi","ZRE","Haut Zaire"
"Bomu","ZRE","Haut Zaire"
"Uelle","ZRE","Haut Zaire"
"Zaire","ZRE","Haut Zaire"
"Lukenie","ZRE","Kasai Oriental"
"Tshuapa","ZRE","Kasai Oriental"
"Ruzizi","ZRE","Kivu"
"Semliki","ZRE","Kivu"
"Lomami","ZRE","Shaba/Katanga"
"Lualaba","ZRE","Shaba/Katanga"
"Lukuga","ZRE","Shaba/Katanga"
"Lulua","ZRE","Shaba/Katanga"
"Luvua","ZRE","Shaba/Katanga"
