"Abbreviation","Name","City","Country","Province","Established"
"SPF","South Pacific Forum","Suva","FJI","Fiji","1971-08-05"
"UDEAC","Central African Customs and Economic Union","Bangui","RCA","Central African Republic","1964-12-08"
"UN","United Nations","New York","USA","New York","1945-06-26"
"UNAMIR","United Nations Assistance Mission for Rwanda","New York","USA","New York","1993-10-05"
"UNAVEM III","United Nations Angola Verification Mission","New York","USA","New York","1988-12-20"
"UNCRO","United Nations Confidence Restoration Operation in Croatia","New York","USA","New York","1995-03-31"
"UNCTAD","United Nations Conference on Trade and Development","Geneva","CH","GE","1964-12-30"
"UNDOF","United Nations Disengagement Observer Force","Damascus","SYR","Syria","1974-05-31"
"UNESCO","United Nations Educational, Scientific, and Cultural Organization","Paris","F","Ile de France","1945-11-16"
"UNFICYP","United Nations Force in Cyprus","New York","USA","New York","1964-03-04"
"UNHCR","United Nations Office of the High Commissioner for Refugees","Geneva","CH","GE","1949-12-03"
"UNIDO","United Nations Industrial Development Organization","Vienna","A","Vienna","1966-11-17"
"UNIFIL","United Nations Interim Force in Lebanon","New York","USA","New York","1978-03-19"
"UNIKOM","United Nations Iraq-Kuwait Observation Mission","New York","USA","New York","1991-04-09"
"UNITAR","United Nations Institute for Training and Research","","","","1963-12-11"
"UNMIH","United Nations Mission in Haiti","New York","USA","New York","1993-09-23"
"UNMOGIP","United Nations Military Observer Group in India and Pakistan","New York","USA","New York","1948-08-13"
"UNMOT","United Nations Mission of Observers in Tajikistan","New York","USA","New York","1994-12-16"
"UNOMIG","United Nations Observer Mission in Georgia","New York","USA","New York",""
"UNOMIL","United Nations Observer Mission in Liberia","New York","USA","New York","1993-09-22"
"UNPREDEP","United Nations Preventive Deployment Force","","","","1995-03-31"
"UNPROFOR","United Nations Protection Force","New York","USA","New York","1992-02-28"
"UNRWA","United Nations Relief and Works Agency for Palestine Refugees in the Near East","Vienna","A","Vienna","1949-12-08"
"UNTSO","United Nations Truce Supervision Organization","Jerusalem","IL","Central","1948-05-01"
"UNU","United Nations University","","","","1973-12-06"
"UPU","Universal Postal Union","Bern","CH","BE","1874-10-09"
"WADB","West African Development Bank","Lome","RT","Togo","1973-11-14"
"WCL","World Confederation of Labor","Brussels","B","Brabant","1920-06-19"
"WEU","Western European Union","Brussels","B","Brabant","1954-10-23"
"WFTU","World Federation of Trade Unions","Prague","CZ","Praha","1945-10-03"
"WHO","World Health Organization","Geneva","CH","GE","1946-07-22"
"WIPO","World Intellectual Property Organization","Geneva","CH","GE","1967-07-14"
"WMO","World Meteorological Organization","Geneva","CH","GE","1947-10-11"
"WToO","World Tourism Organization","Madrid","E","Madrid","1975-01-02"
"WTrO","World Trade Organization","","","","1994-04-15"
"ZC","Zangger Committee","","","",""
