"City","Province","Country","River","Lake","Sea"
"Stuttgart","Baden Wurttemberg","D","Neckar","",""
"Mannheim","Baden Wurttemberg","D","Rhein","",""
"Mannheim","Baden Wurttemberg","D","Neckar","",""
"Karlsruhe","Baden Wurttemberg","D","Rhein","",""
"Heidelberg","Baden Wurttemberg","D","Neckar","",""
"Heilbronn","Baden Wurttemberg","D","Neckar","",""
"Ulm","Baden Wurttemberg","D","Donau","",""
"Ulm","Baden Wurttemberg","D","Iller","",""
"Munich","Bayern","D","Isar","",""
"Augsburg","Bayern","D","Lech","",""
"Wurzburg","Bayern","D","Main","",""
"Regensburg","Bayern","D","Donau","",""
"Ingolstadt","Bayern","D","Donau","",""
"Bremen","Bremen","D","Weser","",""
"Bremerhaven","Bremen","D","Weser","","North Sea"
"Hamburg","Hamburg","D","Elbe","",""
"Wiesbaden","Hessen","D","Rhein","",""
"Wiesbaden","Hessen","D","Main","",""
"Frankfurt am Main","Hessen","D","Main","",""
"Kassel","Hessen","D","Fulda","",""
"Offenbach am Main","Hessen","D","Main","",""
"Rostock","Mecklenburg Vorpommern","D","","","Baltic Sea"
"Hannover","Niedersachsen","D","Leine","",""
"Gottingen","Niedersachsen","D","Leine","",""
"Wolfsburg","Niedersachsen","D","Aller","",""
"Dusseldorf","Nordrhein Westfalen","D","Rhein","",""
"Koln","Nordrhein Westfalen","D","Rhein","",""
"Duisburg","Nordrhein Westfalen","D","Rhein","",""
"Bonn","Nordrhein Westfalen","D","Rhein","",""
"Krefeld","Nordrhein Westfalen","D","Rhein","",""
"Leverkusen","Nordrhein Westfalen","D","Rhein","",""
"Neuss","Nordrhein Westfalen","D","Rhein","",""
"Mainz","Rheinland Pfalz","D","Rhein","",""
"Ludwigshafen","Rheinland Pfalz","D","Rhein","",""
"Koblenz","Rheinland Pfalz","D","Rhein","",""
"Koblenz","Rheinland Pfalz","D","Mosel","",""
"Saarbrucken","Saarland","D","Saar","",""
"Dresden","Sachsen","D","Elbe","",""
"Magdeburg","Sachsen Anhalt","D","Elbe","",""
"Kiel","Schleswig Holstein","D","","","Baltic Sea"
"Lubeck","Schleswig Holstein","D","","","Baltic Sea"
"Szolnok","Szolnok","H","Theiss","",""
"Budapest","Budapest (munic.)","H","Donau","",""
"Gyor","Gyor (munic.)","H","Raab","",""
"Szeged","Szeged (munic.)","H","Theiss","",""
"Turin","Piemonte","I","Po","",""
"Bolzano","Trentino Alto Adige","I","Etsch","",""
"Trento","Trentino Alto Adige","I","Etsch","",""
"Verona","Veneto","I","Etsch","",""
"Venice","Veneto","I","","","Mediterranean Sea"
"Trieste","Friuli Venezia Giulia","I","","","Mediterranean Sea"
"La Spezia","Liguria","I","","","Mediterranean Sea"
"Genua","Liguria","I","","","Mediterranean Sea"
"Piacenza","Emilia Romagna","I","Po","",""
"Rimini","Emilia Romagna","I","","","Mediterranean Sea"
"Livorno","Toscana","I","","","Mediterranean Sea"
"Pisa","Toscana","I","Arno","",""
"Firenze","Toscana","I","Arno","",""
"Ancona","Marche","I","","","Mediterranean Sea"
"Rome","Lazio","I","Tiber","",""
"Pescara","Abruzzo","I","","","Mediterranean Sea"
"Salerno","Campania","I","","","Mediterranean Sea"
"Napoli","Campania","I","","","Mediterranean Sea"
"Torre del Greco","Campania","I","","","Mediterranean Sea"
"Bari","Puglia","I","","","Mediterranean Sea"
"Taranto","Puglia","I","","","Mediterranean Sea"
"Reggio di Calabria","Calabria","I","","","Mediterranean Sea"
"Palermo","Sicilia","I","","","Mediterranean Sea"
"Messina","Sicilia","I","","","Mediterranean Sea"
"Catania","Sicilia","I","","","Mediterranean Sea"
"Siracusa","Sicilia","I","","","Mediterranean Sea"
"Cagliari","Sardegna","I","","","Mediterranean Sea"
"Bratislava","Slovakia","SK","Donau","",""
"Bratislava","Slovakia","SK","March","",""
"Ljubljana","Slovenia","SLO","Save","",""
"Aarau","AG","CH","Aare","",""
"Basel","BS","CH","Rhein","",""
"Bern","BE","CH","Aare","",""
"Geneva","GE","CH","Rhone","Lac Leman",""
"Chur","GR","CH","Rhein","",""
"Luzern","LU","CH","Reuss","Vierwaldstattersee",""
"Schaffhausen","SH","CH","Rhein","",""
"Solothurn","SO","CH","Aare","",""
"Bellinzona","TI","CH","Ticino","",""
"Altdorf","UR","CH","Reuss","",""
"Sion","VS","CH","Rhone","",""
"Lausanne","VD","CH","","Lac Leman",""
"Zurich","ZH","CH","Limmat","Zurichsee",""
"Riga","Latvia","LV","Western Dwina","","Baltic Sea"
"Warsaw","Warszwaskie","PL","Weichsel","",""
"Bydgoszcz","Bydgoskie","PL","Weichsel","",""
"Gdansk","Gdanskie","PL","Weichsel","","Baltic Sea"
"Gdynia","Gdanskie","PL","","","Baltic Sea"
"Krakow","Krakowskie","PL","Weichsel","",""
"Opole","Opolskie","PL","Oder","",""
"Szczecin","Szczecinskie","PL","Oder","",""
"Wroclaw","Wroclawskie","PL","Oder","",""
"Cherkasy","Cherkaska","UA","Dnepr","",""
"Chernivtsi","Chernivetska","UA","Pruth","",""
"Dnipropetrovsk","Dnipropetrovska","UA","Dnepr","",""
"Dniprodzerzhynsk","Dnipropetrovska","UA","Dnepr","",""
"Kherson","Khersonska","UA","Dnepr","",""
"Kiev","Kyyivska","UA","Dnepr","",""
"Kremenchuk","Poltavska","UA","Dnepr","",""
"Zaporizhzhya","Zaporizka","UA","Dnepr","",""
"Arkhangelsk","Arkhangelskaya oblast","R","Northern Dwina","","Barents Sea"
"Severodvinsk","Arkhangelskaya oblast","R","","","Barents Sea"
"Murmansk","Murmanskaya oblast","R","","","Barents Sea"
"Kaliningrad","Kaliningradskaya oblast","R","","","Baltic Sea"
"Sankt Peterburg","Sankt Peterburg","R","","","Baltic Sea"
"Kaluga","Kaluzhskaya oblast","R","Oka","",""
"Kostroma","Kostromskaya oblast","R","Volga","",""
"Kolomna","Moskovskaya oblast","R","Oka","",""
"Serpukhov","Moskovskaya oblast","R","Oka","",""
"Ryazan","Ryazanskaya oblast","R","Oka","",""
"Smolensk","Smolenskaya oblast","R","Dnepr","",""
"Tver","Tverskaya oblast","R","Volga","",""
"Yaroslavl","Yaroslavskaya oblast","R","Volga","",""
"Rybinsk","Yaroslavskaya oblast","R","Volga","",""
"Nizhniy Novgorod","Nizhegorodskaya oblast","R","Volga","",""
"Nizhniy Novgorod","Nizhegorodskaya oblast","R","Oka","",""
"Dzerzhinsk","Nizhegorodskaya oblast","R","Oka","",""
"Kazan","Rep. of Tatarstan","R","Volga","",""
"Astrakhan","Astrakhanskaya oblast","R","Volga","",""
"Volgograd","Volgogradskaya oblast","R","Volga","",""
"Samara","Samarskaya oblast","R","Volga","",""
"Tolyatti","Samarskaya oblast","R","Volga","",""
"Saratov","Saratovskaya oblast","R","Volga","",""
"Balakovo","Saratovskaya oblast","R","Volga","",""
"Engels","Saratovskaya oblast","R","Volga","",""
"Simbirsk","Ulyanovskaya oblast","R","Volga","",""
"Orenburg","Orenburgskaya oblast","R","Ural","",""
"Orsk","Orenburgskaya oblast","R","Ural","",""
"Kurgan","Kurganskaya oblast","R","Tobol","",""
"Magnitogorsk","Chelyabinskaya oblast","R","Ural","",""
"Biysk","Altayskiy kray","R","Katun","",""
"Omsk","Omskaya oblast","R","Irtysch","",""
"Kyzyl","Rep. of Tyva","R","Jenissej","",""
"Abakan","Rep. of Khakassiya","R","Jenissej","",""
"Krasnoyarsk","Krasnoyarskiy kray","R","Jenissej","",""
"Irkutsk","Irkutskaya oblast","R","Angara","",""
"Angarsk","Irkutskaya oblast","R","Angara","",""
"Bratsk","Irkutskaya oblast","R","Angara","",""
"Ust Ilimsk","Irkutskaya oblast","R","Angara","",""
"Usolye Sibirskoye","Irkutskaya oblast","R","Angara","",""
"Chita","Chitinskaya oblast","R","Schilka","",""
"Yakutsk","Rep. of Sakha","R","Lena","",""
"Vladivostok","Primorsky kray","R","","","Sea of Japan"
"Nakhodka","Primorsky kray","R","","","Sea of Japan"
"Khabarovsk","Khabarovskiy kray","R","Amur","",""
"Komsomolsk na Amure","Khabarovskiy kray","R","Amur","",""
"Blagoveshchensk","Amurskaya oblast","R","Amur","",""
"Petropavlovsk Kamchatsky","Kamchatskaya oblast","R","","","Pacific Ocean"
"Magadan","Magadanskaya oblast","R","","","Sea of Okhotsk"
"Okhotsk","Magadanskaya oblast","R","","","Sea of Okhotsk"
"Liege","Liege","B","Maas","",""
"Namur","Namur","B","Maas","",""
"Arnhem","Gelderland","NL","Rhein","",""
"Nijmegen","Gelderland","NL","Rhein","",""
"Rotterdam","Zuid Holland","NL","Rhein","",""
"Maastricht","Limburg","NL","Maas","",""
"Zagreb","Croatia","HR","Save","",""
"Braila","Braila","RO","Donau","",""
"Sfintu Gheorghe","Covasna","RO","Olt","",""
"Galati","Galati","RO","Donau","",""
"Miercurea Ciuc","Harghita","RO","Olt","",""
"Slatina","Olt","RO","Olt","",""
"Diyarbakir","Diyarbakir","TR","Tigris","",""
"Erzincan","Erzincan","TR","Karasu","",""
"Erzurum","Erzurum","TR","Karasu","",""
"Mus","Mus","TR","Murat","",""
"Copenhagen","Denmark","DK","","","Baltic Sea"
"Aarhus","Denmark","DK","","","Kattegat"
"Esbjerg","Denmark","DK","","","North Sea"
"Tallinn","Estonia","EW","","","Baltic Sea"
"Torshavn","Faroe Islands","FARX","","","Norwegian Sea"
"Lahti","Haeme","SF","","Paeijaenne",""
"Kuopio","Kuopio","SF","","Kallavesi",""
"Lappeenrenta","Kymi","SF","","Saimaa",""
"Kotka","Kymi","SF","Kymijoki","","Baltic Sea"
"Rovaniemi","Lappia","SF","Ounasjoki","",""
"Rovaniemi","Lappia","SF","Kemijoki","",""
"Mikkeli","Mikkeli","SF","","Saimaa",""
"Jyvaeskylae","Suomi","SF","","Paeijaenne",""
"Oulu","Oulu","SF","Oulujoki","","Baltic Sea"
"Pori","Turku-Pori","SF","Kokemaeenjoki","",""
"Turku","Turku-Pori","SF","","","Baltic Sea"
"Helsinki","Uusimaa","SF","","","Baltic Sea"
"Espoo","Uusimaa","SF","","","Baltic Sea"
"Vaasa","Vaasa","SF","","","Baltic Sea"
"Oslo","Oslo","N","","","Skagerrak"
"Moss","Oestfold","N","","","Skagerrak"
"Hamar","Hedmark","N","","Mjoesa-See",""
"Lillehammer","Oppland","N","","Mjoesa-See",""
"Arendal","Aust Agder","N","","","Skagerrak"
"Kristiansand","Vest Agder","N","","","Skagerrak"
"Stavanger","Rogaland","N","","","North Sea"
"Bergen","Hordaland","N","","","North Sea"
"Molde","Moere og Romsdal","N","","","Norwegian Sea"
"Trondheim","Soer Trondelag","N","","","Norwegian Sea"
"Steinkjer","Nord Trondelag","N","","","Norwegian Sea"
"Svolvaer","Nordland","N","","","Norwegian Sea"
"Narvik","Nordland","N","","","Norwegian Sea"
"Bodoe","Nordland","N","","","Norwegian Sea"
"Tromsoe","Troms","N","","","Norwegian Sea"
"Hammerfest","Finnmark","N","","","Barents Sea"
"Vadsoe","Finnmark","N","","","Barents Sea"
"Vanersborg","Alvsborg","S","Goetaaelv","Vaenern",""
"Karlskrona","Blekinge","S","","","Baltic Sea"
"Gavle","Gavleborg","S","","","Baltic Sea"
"Goteborg","Goteborg och Bohus","S","Goetaaelv","","Kattegat"
"Visby","Gotland","S","","","Baltic Sea"
"Halmstad","Halland","S","","","Kattegat"
"Jonkoping","Jonkoping","S","","Vaettern",""
"Kalmar","Kalmar","S","","","Baltic Sea"
"Malmo","Malmohus","S","","","Baltic Sea"
"Helsingborg","Malmohus","S","","","Baltic Sea"
"Lulea","Norrbotten","S","","","Baltic Sea"
"Mariestad","Skaraborg","S","","Vaenern",""
"Stockholm","Stockholm","S","","Maelaren","Baltic Sea"
"Karlstad","Varmland","S","Klaraelv","Vaenern",""
"Umea","Vasterbotten","S","Umeaelv","",""
"Harnosand","Vasternorrland","S","","","Baltic Sea"
"Vasteras","Vastmanland","S","","Maelaren",""
"Monaco","Monaco","MC","","","Mediterranean Sea"
"Saint Peter Port","Guernsey","GBG","","","The Channel"
"Reykjavik","Iceland","IS","","","Atlantic Ocean"
"Keflavik","Iceland","IS","","","Atlantic Ocean"
"Hafnarfjoerdur","Iceland","IS","","","Atlantic Ocean"
"Akureyri","Iceland","IS","","","Norwegian Sea"
"Dublin","Ireland","IRL","","","Irish Sea"
"Saint Helier","Jersey","GBJ","","","The Channel"
"Valletta","Malta","M","","","Mediterranean Sea"
"Douglas","Man","GBM","","","Irish Sea"
"Faro","Algarve","P","","","Atlantic Ocean"
"Lisbon","Lisbon","P","Tajo","","Atlantic Ocean"
"Porto","Porto","P","Douro","","Atlantic Ocean"
"Vila Nova de Gaia","Porto","P","Douro","","Atlantic Ocean"
"Santarem","Santarem","P","Tajo","",""
"Setubal","Setubal","P","","","Atlantic Ocean"
"Viana do Castelo","Viana do Castelo","P","","","Atlantic Ocean"
"Ponta Delgada","Azores","P","","","Atlantic Ocean"
"Funchal","Madeira","P","","","Atlantic Ocean"
"Longyearbyen","Svalbard","SVAX","","","Norwegian Sea"
"Reading","Berkshire","GB","Thames","",""
"Plymouth","Devon","GB","","","The Channel"
"Bournemouth","Dorset","GB","","","The Channel"
"Poole","Dorset","GB","","","The Channel"
"Brighton","East Sussex","GB","","","The Channel"
"Southend on Sea","Essex","GB","Thames","","North Sea"
"London","Greater London","GB","Thames","",""
"Southampton","Hampshire","GB","","","The Channel"
"Portsmouth","Hampshire","GB","","","The Channel"
"Havant","Hampshire","GB","","","The Channel"
"Fareham","Hampshire","GB","","","The Channel"
"Dover","Kent","GB","","","The Channel"
"Oxford","Oxfordshire","GB","Thames","",""
"Inverness","Highland","GB","","","North Sea"
"Dundee","Tayside","GB","","","North Sea"
"Colwyn Bay","Aberconwy and Colwyn","GB","","","Irish Sea"
"Cardiff","Cardiff","GB","","","Irish Sea"
"Belfast","Northern Ireland","GB","","","Irish Sea"
"Kirkwall","Orkneys","GB","","","North Sea"
"Stornoway","Outer Hebrides","GB","","","Atlantic Ocean"
"Lerwick","Shetland","GB","","","North Sea"
"Wuhu","Anhui","TJ","Jangtse","",""
"Maanshan","Anhui","TJ","Jangtse","",""
"Anqing","Anhui","TJ","Jangtse","",""
"Tongling","Anhui","TJ","Jangtse","",""
"Lanzhou","Gansu","TJ","Hwangho","",""
"Haikou","Hainan","TJ","","","South China Sea"
"Sanya","Hainan","TJ","","","South China Sea"
"Zhengzhou","Henan","TJ","Hwangho","",""
"Luoyang","Henan","TJ","Hwangho","",""
"Kaifeng","Henan","TJ","Hwangho","",""
"Wuhan","Hubei","TJ","Jangtse","",""
"Huangshi","Hubei","TJ","Jangtse","",""
"Yichang","Hubei","TJ","Jangtse","",""
"Shashi","Hubei","TJ","Jangtse","",""
"Xianning","Hubei","TJ","Jangtse","",""
"Shishou","Hubei","TJ","Jangtse","",""
"Yueyang","Hunan","TJ","Jangtse","",""
"Nanjing","Jiangsu","TJ","Jangtse","",""
"Changzhou","Jiangsu","TJ","Jangtse","",""
"Zhenjiang","Jiangsu","TJ","Jangtse","",""
"Nantong","Jiangsu","TJ","Jangtse","",""
"Yangzhou","Jiangsu","TJ","Jangtse","",""
"Jiujiang","Jiangxi","TJ","Jangtse","",""
"Dalian","Liaoning","TJ","","","Yellow Sea"
"Yingkou","Liaoning","TJ","","","Yellow Sea"
"Jinan","Shandong","TJ","Hwangho","",""
"Qingdao","Shandong","TJ","","","Yellow Sea"
"Yantai","Shandong","TJ","","","Yellow Sea"
"Weihai","Shandong","TJ","","","Yellow Sea"
"Chongqing","Sichuan","TJ","Jangtse","",""
"Luzhou","Sichuan","TJ","Jangtse","",""
"Yibin","Sichuan","TJ","Jangtse","",""
"Baotou","Nei Monggol","TJ","Hwangho","",""
"Yinchuan","Ningxia Huizu","TJ","Hwangho","",""
"Khorramshahr","Khuzestan","IR","Karun","",""
"Khorramshahr","Khuzestan","IR","Karun","",""
"Hyderabad","Pakistan","PK","Indus","",""
"Karachi","Pakistan","PK","","","Arabian Sea"
"Sukkur","Pakistan","PK","Indus","",""
"Khorugh","Badakhshoni Kuni","TAD","Pjandsh","",""
"Namangan","Namangan","UZB","Syrdarja","",""
"Tbilisi","Georgia","GE","Kura","",""
"Baku","Azerbaijan","AZ","","Caspian Sea",""
"Manama","Bahrain","BRN","","","Persian Gulf"
"Dhaka","Bangladesh","BD","Ganges","",""
"Pathein","Ayeyarwady","MYA","Irawaddy","",""
"Magway","Magway","MYA","Irawaddy","",""
"Mandalay","Mandalay","MYA","Irawaddy","",""
"Sagaing","Sagaing","MYA","Irawaddy","",""
"Myitkyina","Kachin","MYA","Irawaddy","",""
"Moulmein","Mon","MYA","Saluen","","Andaman Sea"
"Gauhati","Assam","IND","Brahmaputra","",""
"Patna","Bihar","IND","Ganges","",""
"Panaji","Goa","IND","","","Arabian Sea"
"Jamnagar","Gujarat","IND","","","Arabian Sea"
"Trivandrum","Kerala","IND","","","Indian Ocean"
"Cochin","Kerala","IND","","","Arabian Sea"
"Mumbai","Maharashtra","IND","","","Arabian Sea"
"Madras","Tamil Nadu","IND","","","Gulf of Bengal"
"Kanpur","Uttar Pradesh","IND","Ganges","",""
"Varanasi","Uttar Pradesh","IND","Ganges","",""
"Allahabad","Uttar Pradesh","IND","Ganges","",""
"Port Blair","Andaman and Nicobar Is.","IND","","","Gulf of Bengal"
"Port Blair","Andaman and Nicobar Is.","IND","","","Andaman Sea"
"Kavaratti","Lakshadweep Is.","IND","","","Arabian Sea"
"Melaka","Melaka","MAL","","","Malakka Strait"
"Penang","Pulau Pinang","MAL","","","Malakka Strait"
"Vientiane","Laos","LAO","Mekong","",""
"Phnom Penh","Cambodia","K","Mekong","",""
"Can Tho","Vietnam","VN","Mekong","",""
"Long Xuyen","Vietnam","VN","Mekong","",""
"Atyrau","Atyrau","KAZ","Ural","Caspian Sea",""
"Oral","Batys Qazaqstan","KAZ","Ural","",""
"Aqtau","Mangghystau","KAZ","","Caspian Sea",""
"Pavlodar","Pavlodar","KAZ","Irtysch","",""
"Qostanay","Qostanay","KAZ","Tobol","",""
"Qyzylorda","Qyzylorda","KAZ","Syrdarja","",""
"Semey","Semey","KAZ","Irtysch","",""
"Petropavl","Soltustik Qazaqstan","KAZ","Ischim","",""
"Hamhung Hungnam","North Korea","NOK","","","Sea of Japan"
"Chongjin","North Korea","NOK","","","Sea of Japan"
"Sinuiju","North Korea","NOK","","","Yellow Sea"
"Wonsan","North Korea","NOK","","","Sea of Japan"
"Haeju","North Korea","NOK","","","Yellow Sea"
"Anju","North Korea","NOK","","","Yellow Sea"
"Songjin","North Korea","NOK","","","Sea of Japan"
"Kusong","North Korea","NOK","","","Sea of Japan"
"Sinpo","North Korea","NOK","","","Sea of Japan"
"Kaesong","North Korea","NOK","","","Yellow Sea"
"Flying Fish Cove","Christmas Island","XMAS","","","Indian Ocean"
"West Island","Cocos Islands","COCO","","","Indian Ocean"
"Gaza","Gaza Strip","GAZA","","","Mediterranean Sea"
"Haifa","Haifa","IL","","","Mediterranean Sea"
"Tel Aviv","Tel Aviv","IL","","","Mediterranean Sea"
"Marsa Matruh","Matruh","ET","","","Mediterranean Sea"
"El Tur","Sina al Janubiyah","ET","","","Red Sea"
"El Arish","Sina ash Shamaliyah","ET","","","Mediterranean Sea"
"Aswan","Aswan","ET","Nile","",""
"Asyut","Asyut","ET","Nile","",""
"Beni Suef","Beni Suef","ET","Nile","",""
"El Giza","El Giza","ET","Nile","",""
"El Minya","El Minya","ET","Nile","",""
"Qena","Qena","ET","Nile","",""
"El Uqsur","Qena","ET","Nile","",""
"Sohag","Sohag","ET","Nile","",""
"Bur Said","Bur Said (munic.)","ET","","","Mediterranean Sea"
"Alexandria","El Iskandariya","ET","","","Mediterranean Sea"
"Cairo","El Qahira","ET","Nile","",""
"Helwan","El Qahira","ET","Nile","",""
"El Suweiz","El Suweiz","ET","","","Red Sea"
"Jakarta","Indonesia","RI","","","Sunda Sea"
"Semarang","Indonesia","RI","","","Sunda Sea"
"Surabaya","Indonesia","RI","","","Sunda Sea"
"Banda Aceh","Indonesia","RI","","","Indian Ocean"
"Banda Aceh","Indonesia","RI","","","Andaman Sea"
"Bengkulu","Indonesia","RI","","","Indian Ocean"
"Bandar Lampung","Indonesia","RI","","","Indian Ocean"
"Padang","Indonesia","RI","","","Indian Ocean"
"Medan","Indonesia","RI","","","Malakka Strait"
"Pontianak","Indonesia","RI","","","South China Sea"
"Banjarmasin","Indonesia","RI","","","Sunda Sea"
"Samarinda","Indonesia","RI","","","Sunda Sea"
"Ujung Pandang","Indonesia","RI","","","Sunda Sea"
"Ambon","Indonesia","RI","","","Sunda Sea"
"Balikpapan","Indonesia","RI","","","Sunda Sea"
"Manado","Indonesia","RI","","","Sulawesi Sea"
"Pekalongan","Indonesia","RI","","","Sunda Sea"
"Tegal","Indonesia","RI","","","Sunda Sea"
"Pematang Siantar","Indonesia","RI","Asahan","",""
"Probolinggo","Indonesia","RI","","","Sunda Sea"
"Pangkal Pinang","Indonesia","RI","","","South China Sea"
"Tanjung Balai","Indonesia","RI","","","Malakka Strait"
"Batam","Indonesia","RI","","","South China Sea"
"Pare Pare","Indonesia","RI","","","Sunda Sea"
"Dili","Timor-Leste","TL","","","Sunda Sea"
"Port Moresby","Papua New Guinea","PNG","","","Pacific Ocean"
"Ar Ramadi","Al Anbar","IRQ","Euphrat","",""
"Al Hillah","Babil","IRQ","Euphrat","",""
"Baghdad","Baghdad","IRQ","Tigris","",""
"Al Basrah","Al Basrah","IRQ","Schatt al Arab","",""
"An Nasiriyah","Dhi Qar","IRQ","Euphrat","",""
"Al Amarah","Maysan","IRQ","Tigris","",""
"As Samawah","Al Muthanna","IRQ","Euphrat","",""
"An Najaf","An Najaf","IRQ","Euphrat","",""
"Mosul","Ninawa","IRQ","Tigris","",""
"Diwaniyah","Al Qadisiyah","IRQ","Euphrat","",""
"Samarra","Salah ad Din","IRQ","Tigris","",""
"Al Kut","Wasit","IRQ","Tigris","",""
"Kuwait","Kuwait","KWT","","","Persian Gulf"
"Beirut","Lebanon","RL","","","Mediterranean Sea"
"Hakodate","Hokkaido","J","","","Sea of Japan"
"Hakodate","Hokkaido","J","","","Sea of Japan"
"Aomori","Aomori","J","","","Sea of Japan"
"Sendai","Miyagi","J","","","Pacific Ocean"
"Akita","Akita","J","","","Sea of Japan"
"Chiba","Chiba","J","","","Pacific Ocean"
"Tokyo","Tokyo","J","","","Pacific Ocean"
"Yokohama","Kanagawa","J","","","Pacific Ocean"
"Kawasaki","Kanagawa","J","","","Pacific Ocean"
"Niigata","Niigata","J","","","Sea of Japan"
"Toyama","Toyama","J","","","Sea of Japan"
"Kanazawa","Ishikawa","J","","","Sea of Japan"
"Shizuoka","Shizuoka","J","","","Pacific Ocean"
"Nagoya","Aichi","J","","","Pacific Ocean"
"Tsu","Mie","J","","","Pacific Ocean"
"Osaka","Osaka","J","","","Pacific Ocean"
"Kobe","Hyogo","J","","","Pacific Ocean"
"Wakayama","Wakayama","J","","","Pacific Ocean"
"Tottori","Tottori","J","","","Sea of Japan"
"Matsue","Shimane","J","","","Sea of Japan"
"Okayama","Okayama","J","","","Pacific Ocean"
"Hiroshima","Hiroshima","J","","","Pacific Ocean"
"Tokushima","Tokushima","J","","","Pacific Ocean"
"Takamatsu","Kagawa","J","","","Pacific Ocean"
"Matsuyama","Ehime","J","","","Pacific Ocean"
"Kochi","Kochi","J","","","Pacific Ocean"
"Fukuoka","Fukuoka","J","","","Sea of Japan"
"Kita Kyushu","Fukuoka","J","","","Sea of Japan"
"Nagasaki","Nagasaki","J","","","East China Sea"
"Oita","Oita","J","","","Sea of Japan"
"Miyazaki","Miyazaki","J","","","Pacific Ocean"
"Kagoshima","Kagoshima","J","","","East China Sea"
"Naha","Okinawa","J","","","East China Sea"
