"Name","Area","Depth","Altitude","Type","River","Longitude","Latitude"
"Lago di Bracciano",57.0,160.0,164.0,"caldera","",12.2,42.1
"Lago di Como",146.0,425.0,197.0,"","Adda",9.3,46.0
"Lago di Garda ",370.0,346.0,65.0,"","Mincio",10.65,45.6
"Lago Maggiore",216.0,372.0,193.0,"","Ticino",8.6,45.95
"Lago Trasimeno",128.0,7.0,259.0,"caldera","",12.1,43.1
"Laguna Mar Chiquita",5770.0,19.0,71.0,"salt","",-62.67,-30.5
"Lake Abaya",1285.0,13.0,619.0,"salt","",37.8,6.3
"Lake Abbe",320.0,37.0,243.0,"salt","",41.8,11.2
"Lake Bangweulu",10000.0,4.0,1140.0,"","Luapula",29.7,-11.2
"Lake Bosumtwi",49.0,81.0,107.0,"impact","",-1.4,6.5
"Lake Burley Griffin",6.64,0.0,556.0,"artificial","Murrumbidgee River",149.1,-35.3
"Lake Cabora-Bassa",2800.0,0.0,326.0,"artificial","Zambezi",32.7,-15.6
"Lake Champlain",1130.0,121.0,30.0,"","Riviere Richelieu",-73.35,44.56
"Lake Chilwa",687.0,2.0,474.0,"salt","",35.7,-15.3
"Lake Erie",25745.0,64.0,174.0,"","Niagara River",-81.27,42.16
"Lake Eyasi",1050.0,0.0,1030.0,"salt","",35.0,-3.6
"Lake Eyre",9500.0,4.0,-17.0,"salt","",137.3,-28.6
"Lake Genezareth",165.0,46.0,-212.0,"","Jordan",35.6,32.81
"Lake Hume",202.0,0.0,0.0,"","Murray River",147.0,-36.1
"Lake Huron",59600.0,229.0,176.0,"","Detroit River",-82.44,44.795
"Lake Irazu",1.0,0.0,3200.0,"acid","",-83.9,10.0
"Lake Kainji",1243.0,0.0,0.0,"artificial","Niger",4.5,10.4
"Lake Kariba",5580.0,32.0,0.0,"artificial","Zambezi",28.75,-16.5
"Lake Keban",675.0,0.0,0.0,"","Euphrat",38.75,38.8
"Lake Kioga",1720.0,5.7,914.0,"","Victoria Nile",33.0,1.5
"Lake Kivu",2650.0,450.0,1462.0,"","Ruzizi",29.2,-1.8
"Lake Mai Ndombe",8200.0,10.0,300.0,"","Fimi",18.3,-2.05
"Lake Malawi",29600.0,704.0,474.0,"","Chire",34.0,-12.0
"Lake Managua",1035.0,20.0,39.0,"","Rio San Juan",-86.4,12.35
"Lake Manicouagan",1942.0,0.0,350.0,"impact","",-68.7,51.4
"Lake Manitou",104.0,0.0,0.0,"","",-82.0,45.76
"Lake Maracaibo",13000.0,50.0,0.0,"","",-71.55,9.72
"Lake Mead",640.0,180.0,372.0,"artificial","Colorado",-114.75,36.05
"Lake Michigan",57800.0,281.0,176.0,"","",-87.08,43.69
"Lake Mweru",5120.0,27.0,931.0,"","Luvua",28.7,-9.0
"Lake Nasser",5250.0,180.0,183.0,"artificial","Nile",31.75,22.4
"Lake Natron",1040.0,2.0,600.0,"salt","",36.0,-2.4
"Lake Ngami",770.0,2.0,0.0,"salt","",23.0,-20.5
"Lake Nicaragua",8157.0,45.0,31.0,"","Rio San Juan",-85.35,11.6
"Lake Nipigon",4848.0,165.0,260.0,"","",-88.5,49.83
"Lake Nyos",0.0,208.0,0.0,"caldera","",10.3,6.44
"Lake Oahe",1453.0,0.0,0.0,"artificial","Missouri",-100.4,44.45
"Lake Ohrid",367.0,289.0,695.0,"","Black Drin",20.7,41.0
"Lake Okeechobee",1890.0,4.0,0.0,"","",-80.8,26.94
"Lake Ontario",18960.0,244.0,75.0,"","Saint Lawrence River",-77.96,43.695
"Lake Powell",645.0,171.0,1127.0,"artificial","Colorado",-111.5,36.9
"Lake Prespa",273.0,54.0,849.0,"","",21.0,40.9
"Lake Rukwa",5760.0,5.0,800.0,"salt","",32.35,-8.0
"Lake Sakakawea",1578.0,55.0,0.0,"artificial","Missouri",-101.42,47.48
"Lake Sese Seko/Albertsee",5347.0,48.0,619.0,"","Bahr el-Djebel/Albert-Nil",30.9,1.7
"Lake Skutari",368.0,44.0,7.0,"","",19.3,42.2
"Lake Superior",82103.0,405.0,184.0,"","",-87.37,47.7675
"Lake Tahoe",497.0,501.0,1900.0,"","Truckee River",-120.0,39.0
"Lake Tana",3000.0,14.0,1830.0,"","Blue Nile",37.3,12.0
"Lake Tanganjika",32893.0,1470.0,782.0,"","Lukuga",30.0,-6.0
"Lake Titicaca",8372.0,281.0,3812.0,"","Rio Desaguadero",-69.33,-15.84
"Lake Toba",1103.0,505.0,905.0,"caldera","Asahan",98.8,2.6
"Lake Turkana",6405.0,73.0,375.0,"salt","",36.1,3.6
"Lake Urmia",5470.0,7.0,1280.0,"salt","",45.3,37.7
"Lake Van",3740.0,457.0,1719.0,"salt","",42.9,38.6
"Lake Victoria",68870.0,85.0,1134.0,"","Victoria Nile",33.0,-1.0
"Lake Volta",8502.0,130.0,0.0,"artificial","Volta",0.5,6.3
"Lake Winnipeg",24420.0,18.0,218.0,"","Nelson River",-97.97,52.77
"Lake Winnipesaukee",186.0,55.0,153.0,"","Merrimack River",-71.3,43.6
"Licancabur Crater Lake",0.005,0.0,5600.0,"crater","",-67.9,-22.8
"Loch Lomond",71.0,190.0,7.9,"","",-4.59,56.08
"Loch Ness",56.0,226.0,16.0,"","",-4.44,57.31
"Lop Nor",5000.0,0.0,780.0,"salt","",90.6,40.2
"Maelaren",1140.0,66.0,0.7,"","",17.1,59.4
"Makarikari Salt Pan",12000.0,0.0,0.0,"salt","",21.0,-25.5
"Mjoesa-See",368.0,449.0,123.0,"","Lagen",11.0,60.65
"Nam Co",1855.0,125.0,4718.0,"salt","",90.55,30.7
"Neusiedlersee",320.0,1.8,115.5,"","",16.7,47.8
"Oulujaervi",928.0,35.0,123.0,"","Oulujoki",27.25,64.3
"Ozero Aral",17160.0,35.0,31.0,"salt","",59.62,44.81
"Ozero Baikal",31492.0,1637.0,455.0,"","Angara",108.0,53.0
"Ozero Balchash",18428.0,26.0,342.0,"salt","",74.88,46.55
"Ozero Chanka",4400.0,0.0,0.0,"","",132.4,45.0
"Ozero Ladoga",18400.0,225.0,4.0,"","Newa",31.53,60.82
"Ozero Onega",9.616,127.0,33.0,"","Swir",35.485,61.67
"Ozero Pskovskoje",3555.0,14.6,30.0,"","Narva",27.49,58.68
"Ozero Taimyr",4560.0,26.0,5.0,"","",101.6,74.5
"Ozero Tschany",2500.0,106.0,10.0,"","",77.5,54.9
"Paeijaenne",1118.0,95.0,78.0,"","Kymijoki",25.4,61.5
"Poopo",1340.0,4.0,3686.0,"salt","",-67.1,-18.55
"Pyramid Lake",487.0,108.0,1155.0,"salt","",-119.57,40.03
"Qinghai Lake",4583.0,0.0,3195.0,"salt","",100.2,36.9
"Rutanzige/Eduardsee",2325.0,112.0,920.0,"","Semliki",29.6,-0.35
"Saimaa",4370.0,85.0,76.0,"","Vuoksi",28.0,61.3
"Salar de Uyuni",10582.0,0.0,3650.0,"salt","",-67.5,-20.1
"Siljan",290.0,134.0,161.0,"impact","Oesterdalaelv",14.8,60.85
"Starnberger See",56.36,127.7,584.0,"","Wurm",11.32,47.92
"Storuman",173.0,139.0,419.0,"","Umeaelv",16.88,65.22
"Thunersee",48.3,217.0,558.0,"","Aare",7.716,46.69
"Vaenern",5648.0,106.0,44.0,"","Goetaaelv",13.3,58.8
"Vaettern",1900.0,119.0,88.0,"","",14.5,58.3
"Vierwaldstattersee",113.7,214.0,434.0,"","Reuss",8.4,47.0
"Zurichsee",88.0,136.0,406.0,"","Limmat",8.23631,47.5018
