"City","Province","Country","Island"
"Ujung Pandang","Indonesia","RI","Sulawesi"
"Yogyakarta","Indonesia","RI","Java"
"Antananarivo","Antananarivo","RM","Madagaskar"
"Antsirabe","Antananarivo","RM","Madagaskar"
"Antsiranana","Antsiranana","RM","Madagaskar"
"Fianarantsoa","Fianarantsoa","RM","Madagaskar"
"Majunga","Mahajanga","RM","Madagaskar"
"Tamatave","Toamasina","RM","Madagaskar"
"Toliara","Toliara","RM","Madagaskar"
"Cagayan de Oro","Philippines","RP","Mindanao"
"Cebu","Philippines","RP","Cebu"
"Davao","Philippines","RP","Mindanao"
"Kalookan","Philippines","RP","Luzon"
"Makati","Philippines","RP","Luzon"
"Manila","Philippines","RP","Luzon"
"Pasay","Philippines","RP","Luzon"
"Pasig","Philippines","RP","Luzon"
"Quezon","Philippines","RP","Luzon"
"Zamboanga","Philippines","RP","Mindanao"
"Singapore","Singapore","SGP","Singapore"
"Honiara","Solomon Islands","SLB","Guadalcanal"
"Marigot","Saint Martin","SMAR","St. Martin"
"Saint-Pierre","Saint Pierre and Miquelon","SPMI","Saint Pierre"
"Sao Tome","Sao Tome and Principe","STP","Sao Tome"
"Longyearbyen","Svalbard","SVAX","Svalbard"
"Victoria","Seychelles","SY","Mahe"
"Haikou","Hainan","TJ","Hainan"
"Sanya","Hainan","TJ","Hainan"
"Dili","Timor-Leste","TL","Timor"
"Nukualofa","Tonga","TO","Tongatapu"
"Port-of-Spain","Trinidad and Tobago","TT","Trinidad"
"Grand Turk","Turks and Caicos Islands","TUCA","Grand Turk"
"Funafuti","Tuvalu","TUV","Fongafale"
"Charlotte Amalie","Virgin Islands","VIRG","Saint Thomas"
"Port-Vila","Vanuatu","VU","Efate"
"Mata-Utu","Wallis and Futuna","WAFU","Uvea"
"Roseau","Dominica","WD","Dominica"
"Saint Georges","Grenada","WG","Grenada"
"Castries","Saint Lucia","WL","Saint Lucia"
"Apia","Samoa","WS","Upolu"
"Kingstown","Saint Vincent and the Grenadines","WV","Saint Vincent"
"Flying Fish Cove","Christmas Island","XMAS","Christmas Island"
