"Lake","Country","Province"
"Chad Lake","RN","Niger"
"Lake Kivu","RWA","Rwanda"
"Vaenern","S","Alvsborg"
"Siljan","S","Dalarna"
"Vaettern","S","Jonkoping"
"Vaettern","S","Orebro"
"Vaettern","S","Ostergotland"
"Vaenern","S","Skaraborg"
"Vaettern","S","Skaraborg"
"Maelaren","S","Sodermanland"
"Maelaren","S","Stockholm"
"Maelaren","S","Uppsala"
"Vaenern","S","Varmland"
"Storuman","S","Vasterbotten"
"Maelaren","S","Vastmanland"
"Paeijaenne","SF","Haeme"
"Kallavesi","SF","Kuopio"
"Saimaa","SF","Kymi"
"Inari","SF","Lappia"
"Saimaa","SF","Mikkeli"
"Oulujaervi","SF","Oulu"
"Paeijaenne","SF","Suomi"
"Lake Nasser","SUD","ash Shamaliyah"
"Lake Genezareth","SYR","Syria"
"Chad Lake","TCH","Chad"
"Ozero Chanka","TJ","Heilongjiang"
"Qinghai Lake","TJ","Qinghai"
"Nam Co","TJ","Tibet"
"Lop Nor","TJ","Xinjiang Uygur"
"Caspian Sea","TM","Balkan"
"Lake Van","TR","Bitlis"
"Lake Keban","TR","Elazig"
"Lake Keban","TR","Malatya"
"Lake Keban","TR","Tunceli"
"Lake Van","TR","Van"
"Lake Mead","USA","Arizona"
"Lake Powell","USA","Arizona"
"Lake Tahoe","USA","California"
"Lake Okeechobee","USA","Florida"
"Lake Michigan","USA","Illinois"
"Lake Michigan","USA","Indiana"
"Kentucky Lake","USA","Kentucky"
"Lake Erie","USA","Michigan"
"Lake Huron","USA","Michigan"
"Lake Michigan","USA","Michigan"
"Lake Superior","USA","Michigan"
"Lake Superior","USA","Minnesota"
"Fort Peck Lake","USA","Montana"
"Lake Sakakawea","USA","Montana"
"Lake Mead","USA","Nevada"
"Lake Tahoe","USA","Nevada"
"Pyramid Lake","USA","Nevada"
"Lake Winnipesaukee","USA","New Hampshire"
"Lake Champlain","USA","New York"
"Lake Erie","USA","New York"
"Lake Ontario","USA","New York"
"Lake Oahe","USA","North Dakota"
"Lake Sakakawea","USA","North Dakota"
"Lake Erie","USA","Ohio"
"Crater Lake","USA","Oregon"
"Lake Erie","USA","Pennsylvania"
"Lake Oahe","USA","South Dakota"
"Chickamauga Lake","USA","Tennessee"
"Kentucky Lake","USA","Tennessee"
"Great Salt Lake","USA","Utah"
"Lake Powell","USA","Utah"
"Lake Champlain","USA","Vermont"
"Franklin. D. Roosevelt Lake","USA","Washington"
"Lake Michigan","USA","Wisconsin"
"Lake Superior","USA","Wisconsin"
"Ozero Aral","UZB","Qaraqalpoghiston"
"Chad Lake","WAN","Nigeria"
"Lake Kainji","WAN","Nigeria"
"Dead Sea","WEST","West Bank"
"Lake Maracaibo","YV","Merida"
"Lake Maracaibo","YV","Trujillo"
"Lake Maracaibo","YV","Zulia"
"Lake Bangweulu","Z","Luapula"
"Lake Mweru","Z","Luapula"
"Lake Bangweulu","Z","Northern"
"Lake Tanganjika","Z","Northern"
"Lake Kariba","Z","Southern"
"Lake Mai Ndombe","ZRE","Bandundu"
"Lake Sese Seko/Albertsee","ZRE","Haut Zaire"
"Lake Kivu","ZRE","Kivu"
"Lake Tanganjika","ZRE","Kivu"
"Rutanzige/Eduardsee","ZRE","Kivu"
"Lake Mweru","ZRE","Shaba/Katanga"
"Lake Tanganjika","ZRE","Shaba/Katanga"
"Lake Kariba","ZW","Zimbabwe"
